,Account length,International plan,Voice mail plan,Number vmail messages,Total day charge,Total eve charge,Total night charge,Total intl charge,Customer service calls,Churn
102,135,0,0,0,25.79,10.12,8.1,2.84,0,0
103,95,0,0,0,22.95,15.61,11.04,3.38,1,0
104,122,0,0,0,28.99,14.76,11.19,3.05,1,0
105,95,0,0,0,40.48,15.91,8.55,3.19,4,0
106,36,0,1,29,47.84,17.19,8.42,2.43,2,0
107,93,0,1,21,20.04,13.98,9.76,2.65,1,0
108,141,0,1,32,25.26,11.14,9.87,2.73,1,0
109,157,0,0,0,39.07,12.57,10.86,2.59,3,0
110,120,0,0,0,28.05,26.96,5.36,2.24,1,0
111,103,0,0,0,31.45,18.98,10.03,3.4,2,0
112,98,0,0,0,27.37,16.23,10.25,3.27,4,0
113,125,0,0,0,21.54,17.51,11.15,3.59,1,0
114,63,0,0,0,10.01,14.42,9.51,2.54,1,0
116,64,0,0,0,27.64,12.95,2.59,3.83,1,0
117,74,0,0,0,48.03,18.69,7.65,2.54,1,1
118,112,0,1,36,19.33,13.39,7.99,2.7,2,0
119,97,0,0,0,40.77,18.26,6.45,2.35,2,0
120,46,0,0,0,35.73,19.32,9.0,3.54,1,0
121,41,0,1,22,36.35,12.05,6.4,1.94,0,0
122,121,0,0,0,32.42,15.6,9.94,2.65,3,0
123,193,0,0,0,29.05,11.25,5.08,3.13,1,0
124,130,0,0,0,26.21,9.37,10.23,2.48,2,0
125,85,0,0,0,34.24,19.5,11.36,3.24,1,0
126,162,0,0,0,12.02,13.39,6.97,2.46,4,1
127,61,0,1,27,31.88,12.46,10.16,1.73,4,1
128,92,0,0,0,15.59,16.46,7.88,2.48,2,0
129,131,0,1,36,36.41,13.74,11.91,2.57,3,0
130,90,0,0,0,24.74,18.5,6.61,2.94,3,0
131,75,0,0,0,28.27,13.45,11.55,1.65,1,0
132,78,0,0,0,39.27,19.58,11.76,2.57,1,0
133,82,0,0,0,34.05,17.1,9.27,1.92,4,0
134,163,0,0,0,33.49,17.22,9.29,2.46,1,0
135,91,1,0,0,22.08,14.73,11.12,3.02,3,0
136,75,0,1,21,29.89,18.49,10.69,1.43,5,0
137,91,0,0,0,34.53,17.86,8.8,3.24,3,0
138,127,0,1,36,31.14,10.78,11.85,3.02,1,0
139,113,0,1,23,34.85,12.92,7.14,2.75,2,0
140,110,0,0,0,25.25,23.49,8.71,3.35,1,0
141,120,0,1,39,34.05,18.73,11.42,2.84,0,0
142,157,0,1,28,32.74,16.62,4.94,1.84,3,0
143,103,0,0,0,41.91,16.62,9.02,3.16,1,0
144,117,1,0,0,28.41,15.09,11.22,3.81,2,1
145,140,0,0,0,39.42,13.61,4.97,3.86,3,0
146,127,0,0,0,24.94,17.3,9.15,3.7,1,0
147,83,1,0,0,46.16,18.39,5.45,3.16,1,0
148,121,0,0,0,30.86,18.56,7.27,2.3,1,0
149,145,0,1,43,43.81,13.78,12.91,3.0,2,0
150,113,0,0,0,32.95,18.82,7.75,2.86,1,0
151,117,0,0,0,17.48,17.57,13.46,2.73,1,0
152,65,0,0,0,31.94,13.4,10.23,2.03,1,0
153,56,0,0,0,38.42,21.12,6.32,1.86,1,0
154,96,0,0,0,44.27,12.41,12.13,3.11,5,0
155,151,0,0,0,30.38,24.83,11.97,2.65,0,0
156,83,0,0,0,57.36,19.33,6.93,4.27,0,1
157,139,0,1,23,26.79,21.0,11.66,3.7,0,0
158,6,0,0,0,31.21,21.82,8.04,2.75,1,0
159,115,0,1,24,24.16,15.59,7.42,2.59,1,0
160,87,0,0,0,23.17,14.64,6.19,1.92,0,0
161,141,0,0,0,36.91,20.53,11.41,3.24,0,0
162,141,0,1,36,31.88,20.52,10.33,2.84,3,0
163,62,0,0,0,16.81,11.51,10.65,3.29,1,0
164,146,0,0,0,35.07,12.63,7.52,1.65,1,0
165,92,0,1,33,41.33,18.17,10.29,3.27,2,0
166,185,0,1,31,32.27,13.88,11.92,2.03,1,0
167,148,0,0,0,34.34,20.67,11.76,2.94,1,0
168,94,0,1,38,28.92,16.43,4.77,3.46,1,0
169,32,0,0,0,39.25,15.93,6.93,1.7,0,0
170,68,0,0,0,40.31,19.0,4.38,3.56,1,0
171,64,0,1,27,30.96,14.42,7.41,2.86,2,0
172,25,0,0,0,20.28,17.98,12.1,2.84,3,0
173,65,0,0,0,19.86,15.21,8.21,3.81,1,0
174,179,0,0,0,37.26,12.7,11.01,1.65,0,0
175,94,0,0,0,42.94,14.37,7.69,3.0,2,0
176,62,0,0,0,25.01,16.18,8.78,3.29,0,0
177,127,0,0,0,34.36,19.5,8.78,3.11,2,0
178,116,0,0,0,29.5,16.5,9.36,4.37,3,0
180,94,1,1,23,33.51,18.23,12.7,2.57,4,0
181,126,0,0,0,9.89,11.79,6.16,3.21,5,1
183,19,0,0,0,31.64,21.62,9.63,3.94,2,0
184,170,1,0,0,44.18,20.83,6.05,2.27,3,0
186,106,0,0,0,26.98,5.47,8.93,2.75,1,0
187,93,0,0,0,46.17,19.5,3.48,2.94,2,0
188,164,0,0,0,27.3,13.87,8.42,2.43,1,0
189,51,0,0,0,39.51,15.93,10.4,2.46,1,0
190,107,0,0,0,22.75,15.34,5.05,2.4,0,0
191,130,0,0,0,30.07,7.71,10.71,2.57,1,0
192,80,0,0,0,35.68,16.58,9.37,2.38,2,0
193,94,0,0,0,23.38,17.27,6.75,3.62,0,0
194,118,0,1,23,49.22,14.16,5.36,2.57,1,0
195,117,0,1,23,33.68,15.05,8.12,1.84,1,0
196,78,0,0,0,25.45,15.49,11.77,2.62,0,0
197,208,0,0,0,55.51,14.99,8.18,2.89,2,1
198,131,1,1,26,49.79,16.97,11.49,3.73,4,1
199,63,0,0,0,14.11,15.05,11.06,3.51,0,0
200,53,0,1,24,24.77,18.74,11.25,3.54,3,0
201,62,0,0,0,30.99,27.9,11.03,3.02,2,0
202,97,0,0,0,37.06,15.64,10.82,1.73,3,0
203,105,0,0,0,23.9,15.18,9.76,1.84,2,0
204,157,0,0,0,25.96,21.89,8.91,2.54,1,0
205,66,0,1,36,18.14,17.83,8.57,3.27,1,0
206,122,0,0,0,41.45,7.13,8.09,3.7,2,0
207,38,0,0,0,33.05,15.87,10.05,2.92,3,0
208,106,0,0,0,36.36,12.91,11.7,3.29,3,0
209,99,0,0,0,36.92,20.97,10.17,4.27,3,0
210,99,0,0,0,40.99,13.23,8.47,3.13,1,0
211,144,1,0,0,34.6,21.05,8.74,3.21,0,0
212,82,0,1,24,26.38,20.78,5.51,2.89,1,0
213,86,0,1,31,28.49,9.61,11.11,3.29,1,0
214,70,1,0,0,38.54,19.39,3.29,4.75,2,1
215,93,0,0,0,30.48,15.18,10.13,3.11,3,0
216,93,0,0,0,25.74,15.84,7.76,2.94,0,0
217,120,0,0,0,30.6,19.06,11.94,1.27,3,0
218,136,0,0,0,42.53,22.7,6.8,3.51,1,1
220,81,0,0,0,31.21,12.97,9.55,3.29,3,0
221,127,0,1,22,28.22,14.83,11.02,2.75,1,0
222,65,0,0,0,23.14,23.2,9.91,1.19,1,0
223,35,0,0,0,25.38,20.59,7.84,2.4,2,0
224,88,0,0,0,11.12,14.3,10.62,3.73,2,0
225,65,0,0,0,36.28,19.93,11.25,0.73,1,0
226,123,0,0,0,35.17,20.8,9.97,2.08,3,0
227,126,0,1,27,31.65,16.12,3.44,2.59,2,0
228,104,0,1,23,47.63,18.74,6.16,3.59,4,0
229,45,0,1,22,33.42,26.62,7.35,3.21,0,0
230,93,1,0,0,53.04,11.0,9.79,2.84,0,1
231,63,1,1,36,33.83,24.76,8.89,2.97,1,0
232,100,0,0,0,34.53,18.45,8.14,3.65,3,0
233,53,0,0,0,28.7,18.73,6.94,2.94,0,0
234,92,1,0,0,29.43,20.43,10.49,2.43,1,0
235,139,0,0,0,22.85,17.96,8.71,2.75,5,1
236,110,0,1,40,34.44,10.1,10.57,2.43,2,0
237,110,0,0,0,12.67,17.07,8.65,2.65,3,0
238,215,0,0,0,14.21,10.28,10.2,2.89,0,0
239,73,0,0,0,32.67,14.33,6.29,2.54,1,0
240,138,0,0,0,37.43,7.51,8.79,3.48,0,0
241,137,1,0,0,22.97,11.4,10.04,3.32,2,1
242,36,0,0,0,43.08,15.5,12.41,2.27,1,0
243,85,0,0,0,38.25,15.04,8.74,1.92,3,0
245,22,0,0,0,18.75,14.15,9.1,2.57,0,0
246,107,0,1,37,10.2,8.69,11.78,3.0,0,0
247,51,0,0,0,36.52,12.72,12.75,2.75,0,0
248,94,0,0,0,30.91,17.2,11.07,2.48,4,0
249,119,0,1,23,26.18,23.63,10.28,3.19,2,0
250,33,0,1,29,26.76,10.02,12.56,3.75,4,1
251,106,0,0,0,35.34,14.62,8.63,3.89,4,0
252,82,0,0,0,35.19,19.8,7.76,2.46,3,0
253,86,0,1,41,20.23,19.55,10.66,2.57,0,0
254,97,1,0,0,24.43,23.21,8.02,2.94,0,0
255,106,0,1,32,28.2,18.4,7.79,3.81,4,0
256,108,0,0,0,23.56,14.65,10.42,2.65,1,0
257,114,0,0,0,14.4,21.24,8.7,3.92,1,0
258,92,1,0,0,10.64,15.35,9.98,2.81,1,1
259,59,0,0,0,26.38,20.0,7.62,2.35,1,0
260,24,0,1,25,28.03,17.79,10.4,1.81,1,0
261,151,0,0,0,22.87,12.16,10.08,4.16,1,0
262,117,0,0,0,24.36,17.96,8.33,3.11,1,0
263,78,0,0,0,28.61,18.8,10.85,3.38,1,0
264,155,0,0,0,44.61,16.54,6.59,2.24,2,0
265,114,0,1,30,35.05,22.1,13.12,3.08,1,0
266,114,0,1,28,38.39,16.41,10.46,2.27,4,0
267,119,0,0,0,23.51,14.49,11.88,3.65,3,0
268,64,0,1,48,16.05,11.58,6.63,1.22,0,0
269,118,1,0,0,27.2,14.91,8.32,2.67,2,0
270,101,0,0,0,35.12,19.12,11.25,3.94,0,0
271,117,0,0,0,22.9,15.3,9.04,2.08,1,0
273,139,0,0,0,32.78,19.92,9.14,3.51,3,0
274,92,0,1,28,25.69,16.56,10.76,2.7,1,0
275,83,0,0,0,37.64,19.7,5.51,2.65,3,0
276,148,1,0,0,37.21,17.68,9.15,3.0,0,0
277,144,0,1,48,32.27,10.49,9.64,1.76,2,1
278,131,0,1,25,32.76,19.2,11.44,2.94,2,0
279,146,1,0,0,34.75,18.62,10.02,2.84,3,0
280,143,0,0,0,29.29,14.79,8.47,3.51,2,0
281,81,0,0,0,33.73,17.93,8.7,2.81,2,0
282,48,0,1,37,35.99,13.59,6.48,3.29,1,0
283,86,0,1,28,37.67,24.51,10.81,2.43,1,0
284,71,0,0,0,33.64,15.43,12.66,1.81,3,0
285,145,0,1,24,25.08,14.93,11.34,4.21,2,0
286,137,0,0,0,35.09,10.88,8.75,2.38,2,0
287,137,0,0,0,35.0,17.79,13.05,3.92,2,0
288,167,0,0,0,35.29,11.25,11.48,3.81,0,0
289,89,0,0,0,51.66,22.18,14.04,1.43,1,1
290,199,0,1,34,39.2,18.65,13.47,2.16,0,0
291,132,0,0,0,16.92,10.97,5.63,2.62,0,0
292,94,0,0,0,30.11,16.49,6.6,1.59,1,0
293,96,0,1,37,29.36,10.21,9.72,2.78,5,1
294,96,0,1,18,29.36,11.34,11.68,2.65,1,0
295,166,0,0,0,34.71,15.29,9.76,2.57,1,0
296,74,0,0,0,14.57,21.05,6.41,2.73,2,0
297,36,0,0,0,26.79,15.67,10.82,3.21,0,0
298,113,0,0,0,36.64,18.59,9.32,1.78,4,0
299,94,0,0,0,30.86,16.99,12.95,1.78,1,0
300,67,0,0,0,29.19,9.38,8.79,3.21,2,0
302,121,0,0,0,28.97,29.79,13.37,3.02,0,1
303,158,0,0,0,26.86,24.86,10.85,2.46,1,0
304,136,0,0,0,15.64,21.56,9.63,2.78,1,0
305,196,0,0,0,39.78,21.21,7.79,2.46,2,0
306,113,0,0,0,46.26,22.82,9.62,2.3,1,1
307,122,0,0,0,50.39,18.26,6.03,3.08,4,1
308,112,0,0,0,33.05,16.18,8.25,3.08,0,0
309,209,0,0,0,38.62,21.96,8.26,2.4,3,0
310,62,0,0,0,42.28,18.7,11.96,3.56,1,1
311,110,0,1,38,40.17,16.65,8.26,2.62,1,0
312,16,0,0,0,34.95,14.41,9.9,2.94,0,0
313,73,0,0,0,16.0,23.83,9.23,2.65,0,0
315,39,0,0,0,10.27,26.03,5.58,3.35,1,0
316,103,0,1,28,20.57,22.98,7.22,2.08,2,0
317,119,0,1,29,20.03,21.83,6.64,2.05,3,0
318,173,0,1,21,39.51,18.01,12.29,1.35,3,0
319,128,1,1,32,38.0,16.05,6.97,2.54,2,1
320,86,0,0,0,29.97,22.03,12.93,1.67,0,0
321,114,0,1,32,21.28,15.11,10.46,3.48,1,0
322,104,0,0,0,23.58,21.84,10.57,2.7,0,0
323,148,0,0,0,14.67,20.96,11.32,3.05,1,0
324,129,0,0,0,35.19,13.17,11.03,3.62,3,0
325,100,0,1,30,10.0,18.66,6.85,1.92,0,0
326,121,0,1,35,11.68,17.78,8.88,3.08,1,0
327,143,0,1,33,40.66,20.02,7.03,2.57,1,0
328,76,0,0,0,33.71,18.45,8.48,3.38,0,0
330,116,0,0,0,32.66,26.6,5.86,2.13,3,0
331,54,0,0,0,46.34,21.14,8.88,2.57,1,1
332,86,0,0,0,21.81,16.75,6.23,3.29,7,1
333,108,0,0,0,28.83,22.45,9.28,2.51,0,0
334,66,0,0,0,34.22,12.99,10.49,2.03,1,0
335,151,0,1,17,36.5,11.77,7.61,2.32,1,0
336,99,0,0,0,28.76,23.08,7.66,2.86,0,0
337,55,0,0,0,33.0,15.01,13.63,1.89,2,0
338,77,0,0,0,39.75,22.65,9.57,2.05,2,0
339,78,0,0,0,38.27,16.93,7.9,3.94,0,0
340,89,0,0,0,36.21,15.01,11.82,2.46,1,1
341,101,0,0,0,31.26,21.75,12.38,2.92,1,0
342,44,0,1,34,37.71,13.74,10.25,3.78,0,0
344,64,0,1,37,26.28,7.09,7.47,3.59,1,0
345,141,0,0,0,44.23,15.23,6.08,1.94,3,0
346,81,0,1,33,27.47,10.46,11.76,3.29,1,0
347,162,0,0,0,37.5,13.19,8.4,2.84,1,0
348,83,0,1,41,26.5,13.8,5.74,3.54,3,0
349,100,0,0,0,18.19,8.98,10.94,3.46,4,1
350,59,0,0,0,31.03,17.4,10.35,3.05,4,0
351,179,1,1,38,37.42,19.92,10.68,2.73,4,0
352,79,0,0,0,25.87,15.06,4.34,1.43,1,0
353,117,0,0,0,30.86,17.43,9.18,3.97,2,0
354,64,1,0,0,40.15,18.58,8.73,3.56,2,1
355,31,0,0,0,28.24,6.74,9.62,3.43,1,0
356,124,1,0,0,41.58,16.05,9.27,3.05,1,0
357,122,0,1,23,22.81,19.32,5.51,2.3,2,0
358,37,1,1,39,25.45,17.94,5.14,2.48,1,0
359,90,0,1,29,25.52,22.5,8.03,1.57,1,0
360,159,1,0,0,43.71,26.54,8.24,2.38,1,1
361,148,0,0,0,21.15,15.27,11.39,3.05,0,0
362,39,0,1,36,24.09,19.75,9.99,3.24,1,0
363,77,0,0,0,39.1,8.77,13.93,3.05,2,0
364,194,0,0,0,27.59,18.16,8.64,2.94,0,0
366,112,0,0,0,32.86,22.45,5.79,2.46,4,0
367,45,0,0,0,13.29,21.54,11.48,4.86,1,0
368,132,0,0,0,14.18,19.74,6.6,2.05,1,0
369,128,0,0,0,33.25,22.76,7.42,4.32,0,0
370,135,0,0,0,34.31,19.13,9.2,2.78,1,0
371,56,0,0,0,33.49,18.94,10.14,2.86,2,0
372,151,1,0,0,37.06,9.72,12.11,3.35,0,1
373,32,0,0,0,28.02,19.54,7.53,4.0,2,0
374,90,0,0,0,30.46,17.91,12.46,2.48,2,0
375,87,0,1,21,36.38,15.3,6.05,2.86,0,0
376,138,0,0,0,28.99,10.05,8.46,3.02,2,0
378,95,1,0,0,28.14,24.33,8.95,3.11,1,1
379,127,0,0,0,37.57,13.66,10.49,1.84,2,0
380,137,0,0,0,41.16,16.24,9.84,3.97,3,0
381,97,0,0,0,25.77,13.21,10.8,3.97,1,0
382,149,1,0,0,29.95,12.33,11.23,1.54,0,0
383,117,1,1,22,33.32,27.43,10.15,1.0,1,0
384,84,0,0,0,27.12,21.0,8.46,1.94,2,0
385,137,0,0,0,39.13,18.73,9.21,2.89,4,0
386,99,0,0,0,24.94,23.29,14.46,2.4,3,0
387,54,0,0,0,35.79,17.38,5.75,2.3,1,0
388,85,0,0,0,17.34,22.97,6.67,2.89,1,0
389,150,0,0,0,21.42,20.27,12.83,2.75,3,0
390,43,0,0,0,28.63,20.72,9.66,3.0,1,0
391,35,0,0,0,17.95,21.95,9.59,2.35,0,0
392,98,0,0,0,35.11,14.98,10.48,3.35,5,0
393,112,0,0,0,36.91,17.44,8.36,2.54,2,0
394,16,0,0,0,39.03,17.48,7.48,2.92,0,1
395,98,0,1,22,47.31,7.94,4.84,2.62,0,0
396,84,0,0,0,23.56,16.92,9.18,2.11,0,0
397,94,0,0,0,39.85,23.74,10.54,0.54,1,1
398,84,0,0,0,30.86,11.11,8.39,2.3,1,0
399,66,0,0,0,28.44,19.55,8.63,2.86,1,1
400,98,0,1,31,20.57,18.61,10.2,3.24,1,0
401,74,0,0,0,37.59,9.42,10.8,2.86,0,0
402,96,0,1,26,24.79,16.34,7.43,2.67,1,0
403,119,0,0,0,37.88,13.87,7.23,3.02,1,0
404,73,0,0,0,31.18,20.57,9.06,2.03,4,0
405,92,1,0,0,44.93,13.68,8.94,2.51,0,0
406,21,0,0,0,24.82,9.32,11.13,1.84,0,0
407,122,0,0,0,26.71,15.72,8.87,2.3,4,1
408,133,1,0,0,21.64,21.36,6.08,2.78,1,0
409,145,0,0,0,31.94,16.75,7.52,1.3,2,0
410,25,0,0,0,30.4,12.0,9.14,2.27,2,0
411,64,0,0,0,16.52,15.83,8.5,2.81,2,0
412,85,0,0,0,44.17,20.6,7.6,1.46,0,0
413,126,0,0,0,43.61,16.96,8.47,1.89,3,0
414,76,0,0,0,28.82,10.54,9.87,2.7,0,0
415,113,0,0,0,40.75,24.05,10.73,2.35,2,1
417,117,0,0,0,40.78,14.86,9.43,2.65,0,0
418,128,0,1,34,24.19,16.56,10.77,4.32,1,0
419,115,0,0,0,31.3,27.8,9.56,2.03,2,0
420,141,0,1,28,35.17,22.47,7.73,2.51,2,0
421,51,0,0,0,44.18,14.98,3.47,4.13,1,0
422,100,0,0,0,34.65,24.06,8.88,3.38,0,0
423,96,0,1,45,42.3,11.93,11.86,2.78,3,0
424,112,0,1,16,37.67,11.07,9.0,3.05,1,0
425,129,1,0,0,32.79,15.77,9.23,2.94,1,0
426,163,0,0,0,20.81,9.64,8.11,3.38,1,0
427,67,0,1,40,17.83,18.39,9.78,2.59,1,0
428,140,0,0,0,29.44,16.73,9.42,3.02,3,0
429,49,0,0,0,20.3,23.23,9.65,3.35,2,0
430,46,0,0,0,42.55,22.15,8.78,3.59,2,1
431,148,0,0,0,30.31,24.02,8.15,3.08,1,0
432,112,0,0,0,41.38,15.48,11.66,3.46,1,0
433,78,0,0,0,26.35,14.9,7.0,3.19,2,0
434,61,0,1,31,49.08,17.32,9.14,2.32,0,0
435,58,0,1,29,40.87,10.11,7.39,3.02,1,0
436,155,0,0,0,32.35,25.61,9.66,2.16,1,0
437,100,0,0,0,47.26,15.02,9.88,2.24,0,1
438,113,0,0,0,26.35,28.1,8.52,3.65,1,0
439,81,0,0,0,26.1,16.8,8.93,1.7,2,0
440,135,0,1,27,46.48,13.09,11.06,3.32,1,0
441,99,0,0,0,26.4,22.58,6.56,3.35,0,0
442,59,0,1,29,22.63,18.8,5.92,1.84,1,0
443,135,0,0,0,41.96,15.96,6.95,3.4,1,0
444,85,1,0,0,28.12,16.66,15.71,2.59,2,0
445,70,0,0,0,10.12,21.86,9.37,3.0,0,0
446,88,0,0,0,23.51,20.06,8.06,2.59,3,0
447,55,0,0,0,48.74,11.42,8.68,1.86,2,0
448,75,0,0,0,19.94,17.09,4.86,3.29,1,0
449,79,0,1,21,44.93,17.24,7.8,1.7,4,0
450,85,0,0,0,21.74,23.05,9.1,3.38,0,0
451,86,0,1,23,38.34,20.94,11.06,2.65,0,0
452,91,0,0,0,25.33,20.85,11.7,2.24,0,0
453,149,0,1,20,33.81,23.29,8.58,3.86,1,0
454,97,0,0,0,43.59,23.28,10.02,3.0,1,1
455,88,0,0,0,45.02,20.86,7.22,4.0,1,1
456,60,0,0,0,16.69,15.34,10.06,2.51,2,0
457,54,0,0,0,27.17,22.44,5.21,2.62,2,0
458,11,0,1,28,32.4,18.71,8.11,1.62,3,0
459,109,0,0,0,31.28,10.23,6.92,2.97,0,0
460,90,0,0,0,44.51,18.75,6.15,2.59,1,0
461,115,0,0,0,25.14,19.41,13.49,2.59,3,0
462,144,0,1,18,18.09,9.19,9.38,2.73,1,0
463,91,0,0,0,22.73,16.6,12.62,1.59,0,0
464,105,0,1,23,32.9,18.72,12.26,2.3,0,0
465,71,1,0,0,30.29,14.26,8.19,3.67,3,1
466,132,0,1,36,38.45,15.44,11.65,2.84,3,1
467,112,0,0,0,28.97,17.02,11.62,3.13,1,0
469,41,0,1,34,33.05,21.67,7.21,4.64,2,0
470,44,0,0,0,40.85,13.99,10.83,2.86,1,0
471,78,0,0,0,12.75,21.14,7.92,2.57,3,0
472,149,0,0,0,11.75,11.59,8.18,1.7,1,0
473,72,0,1,33,16.42,26.81,7.35,1.67,4,1
475,74,0,0,0,25.25,12.45,13.01,2.67,3,0
476,50,0,0,0,43.88,13.72,10.13,3.16,1,0
477,141,0,1,23,25.45,13.81,9.91,2.05,3,0
478,140,0,0,0,25.47,13.97,13.26,2.19,1,0
479,99,0,0,0,32.37,13.44,12.22,3.02,2,0
480,166,0,0,0,30.84,21.57,5.05,3.13,1,0
481,124,0,0,0,25.69,15.93,11.49,1.43,1,0
